taxa_id,gtf_file,fasta_file
7955,s3://mdibl-rgrindle/orthology_pipe/orthofinder_refs/Danio_rerio.GRCz11.111.gtf,s3://mdibl-rgrindle/orthology_pipe/orthofinder_refs/Danio_rerio.GRCz11.dna.primary_assembly.fa
10090,s3://mdibl-rgrindle/orthology_pipe/orthofinder_refs/Mus_musculus.GRCm39.111.gtf,s3://mdibl-rgrindle/orthology_pipe/orthofinder_refs/Mus_musculus.GRCm39.dna.primary_assembly.fa
